seed_mof_name,seed_mof_string,seed_edge_selfies,seed_target,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_target,dreamed_mof_name,linker_hash
rob_N183_edge116168,[S][C][C][Branch][C][Branch][:1carboxylic_acid][pop][Branch][C][C][C][FrH0][pop][C][FrH0][pop][C][.][O][Co][Branch1][C][O][Branch1][C][O][N][N][Branch1][=Branch2][C][N][Branch1][C][Fr][C][Ring1][=Branch1][Co][Branch2][Ring2][S][N][C][N][Branch1][C][Fr][C][N][Ring1][=Branch1][Co][Branch1][C][O][Branch1][C][O][Branch1][C][O][Branch1][=N][N][N][Ring1][=N][C][N][Branch1][C][Fr][C][Ring1][=Branch1][N][N][Ring2][Ring1][Ring1][C][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][=C][N][N][Ring2][Ring2][C][C][N][Branch1][C][Fr][C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][N][Ring2][Ring2][N][Ring1][=Branch1][&&][rob],[S][C][C][Branch][C][Branch][:1carboxylic_acid][pop][Branch][C][C][C][FrH0][pop][C][FrH0][pop][C],1354.7903,[:3benzenealcohol][C][:4benzenealcohol][Ring1][:1benzenediol][pop][Branch][:4benzenealcohol][Ring1][:0methyl_amine][Ring1][FrH0][pop][pop][Ring2][:0pyrimidine][Ring1][C][FrH0][pop][pop][:=0methyl_amine][:0pyrimidine][pop][pop][:1pyrimidine][.][O][Co][Branch1][C][O][Branch1][C][O][N][N][Branch1][=Branch2][C][N][Branch1][C][Fr][C][Ring1][=Branch1][Co][Branch2][Ring2][S][N][C][N][Branch1][C][Fr][C][N][Ring1][=Branch1][Co][Branch1][C][O][Branch1][C][O][Branch1][C][O][Branch1][=N][N][N][Ring1][=N][C][N][Branch1][C][Fr][C][Ring1][=Branch1][N][N][Ring2][Ring1][Ring1][C][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][=C][N][N][Ring2][Ring2][C][C][N][Branch1][C][Fr][C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][N][Ring2][Ring2][N][Ring1][=Branch1][&&][rob],[:3benzenealcohol][C][:4benzenealcohol][Ring1][:1benzenediol][pop][Branch][:4benzenealcohol][Ring1][:0methyl_amine][Ring1][FrH0][pop][pop][Ring2][:0pyrimidine][Ring1][C][FrH0][pop][pop][:=0methyl_amine][:0pyrimidine][pop][pop][:1pyrimidine],Oc1cccc(OOc2ccc(-c3cc(-c4ncccn4)c(-c4nccc(C[Fr])n4)cc3ONC[Fr])cc2-c2ccccc2O)c1,2281.33,rob_N183_ebb85d3e,ebb85d3e
cds_N173_edge171695,[O][O][:4pyridine][Ring2][C][=Branch][=C][C][=Branch][=C][Ring1][N][O][O][pop][FrH0][pop][O][O][pop][Ring1][FrH0][pop][.][Fr][C][O][Gd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][&&][cds],[O][O][:4pyridine][Ring2][C][=Branch][=C][C][=Branch][=C][Ring1][N][O][O][pop][FrH0][pop][O][O][pop][Ring1][FrH0][pop],1985.1,[O][:3imidazole][:0pyridine][Ring1][:3pyrimidine][Ring1][FrH0][pop][pop][Ring2][:=0amide][:0benzenediol][C][FrH0][=P][FrH0][:0methyl][:5benzenediol][pop][:0isocyanate][:0benzenediol][:0propyl][C][:3imidazole][:1benzenealcohol][:3pyrimidine][.][Fr][C][O][Gd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][&&][cds],[O][:3imidazole][:0pyridine][Ring1][:3pyrimidine][Ring1][FrH0][pop][pop][Ring2][:=0amide][:0benzenediol][C][FrH0][=P][FrH0][:0methyl][:5benzenediol][pop][:0isocyanate][:0benzenediol][:0propyl][C][:3imidazole][:1benzenealcohol][:3pyrimidine],O=C(C[Fr])Nc1c2nc(n1[Fr])O2,2127.7,cds_N173_f197c96f,f197c96f
cds_N556_edge34955,[:0O_nitrile][C][C][N][N][Branch][N][Branch][C][Branch][:0O_nitrile][pop][Branch][FrH0][pop][Ring1][Branch][pop][:0O_nitrile][pop][FrH0][pop][.][Fr][C][O][Bi][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch2][Ring2][Branch1][O][C][Branch1][C][Fr][O][Bi][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring1][=N][O][Ring2][Ring1][=Branch2][&&][cds],[:0O_nitrile][C][C][N][N][Branch][N][Branch][C][Branch][:0O_nitrile][pop][Branch][FrH0][pop][Ring1][Branch][pop][:0O_nitrile][pop][FrH0][pop],1672.411113,[O][C][Branch][FrH0][pop][:1alkyne][Ring1][:1pyridine][=Branch][:1pyridine][=Branch][FrH0][pop][pop][pop][.][Fr][C][O][Bi][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch2][Ring2][Branch1][O][C][Branch1][C][Fr][O][Bi][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring1][=N][O][Ring2][Ring1][=Branch2][&&][cds],[O][C][Branch][FrH0][pop][:1alkyne][Ring1][:1pyridine][=Branch][:1pyridine][=Branch][FrH0][pop][pop][pop],OC([Fr])C#Cc1cccnc1-c1cccnc1[Fr],3506.67,cds_N556_1be7fa44,1be7fa44
sra_N434_edge84180,[:0isocyanate][C][C][N][C][Branch][C][=C][C][Branch][FrH0][pop][Ring1][=Branch][pop][Branch][:0isocyanate][pop][FrH0][pop][.][Fr][C][O][Dy][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][O][Ring1][S][&&][sra],[:0isocyanate][C][C][N][C][Branch][C][=C][C][Branch][FrH0][pop][Ring1][=Branch][pop][Branch][:0isocyanate][pop][FrH0][pop],2578.83,[:1alkyne][C][:1methyl_amine][Ring1][C][Branch][FrH0][:0benzenediol][:0benzene][=Branch][C][C][FrH0][pop][pop][pop][N][.][Fr][C][O][Dy][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][O][Ring1][S][&&][sra],[:1alkyne][C][:1methyl_amine][Ring1][C][Branch][FrH0][:0benzenediol][:0benzene][=Branch][C][C][FrH0][pop][pop][pop][N],C#CCNC([Fr])c1c(O)cccc1OCC[Fr],3356.56,sra_N434_cf8651af,cf8651af
crs_N593_edge38065,[:0methyl_amine][Ring1][C][N][C][Branch][C][Branch][N][Branch][FrH0][pop][Ring1][Branch][pop][:1methyl_amine][pop][Branch][:1methyl_amine][pop][FrH0][pop][.][O][=C][Branch1][C][Fr][O][Cd][Branch1][O][N][C][=N][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][O][N][C][N][Branch1][C][Fr][N][=C][Ring1][=Branch1][Branch1][O][N][C][=N][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][N][C][N][Branch1][C][Fr][N][=C][Ring1][=Branch1][&&][crs],[:0methyl_amine][Ring1][C][N][C][Branch][C][Branch][N][Branch][FrH0][pop][Ring1][Branch][pop][:1methyl_amine][pop][Branch][:1methyl_amine][pop][FrH0][pop],2254.087175,[:0nitrile][C][C][=C][C][Branch][:1methyl_amine][Ring1][:1methyl_amine][Ring1][FrH0][pop][pop][pop][:4benzenealcohol][Ring1][:1pyridine][Ring1][FrH0][pop][pop][pop][:5benzenediol][:5benzenediol][.][O][=C][Branch1][C][Fr][O][Cd][Branch1][O][N][C][=N][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][O][N][C][N][Branch1][C][Fr][N][=C][Ring1][=Branch1][Branch1][O][N][C][=N][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][N][C][N][Branch1][C][Fr][N][=C][Ring1][=Branch1][&&][crs],[:0nitrile][C][C][=C][C][Branch][:1methyl_amine][Ring1][:1methyl_amine][Ring1][FrH0][pop][pop][pop][:4benzenealcohol][Ring1][:1pyridine][Ring1][FrH0][pop][pop][pop][:5benzenediol][:5benzenediol],N#CC=CC(CNCN[Fr])c1ccccc1Oc1cnccc1[Fr],4242.01,crs_N593_96c4415d,96c4415d
nbo_N193_edge82329,[FrH0][N][C][C][=C][Branch][C][Branch][FrH0][pop][C][Branch][O][C][pop][Branch][O][C][pop][Ring1][#Branch][pop][O][C][.][O][=C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][N][N][C][=C][C][=C][Branch1][C][Fr][C][Ring1][#Branch1][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][&&][nbo],[FrH0][N][C][C][=C][Branch][C][Branch][FrH0][pop][C][Branch][O][C][pop][Branch][O][C][pop][Ring1][#Branch][pop][O][C],3059.82,[C][O][C][:2imidazole][Ring2][:1amide][Ring1][C][:0pyrimidine][Ring2][:3imidazole][Ring1][FrH0][pop][pop][pop][pop][pop][pop][pop][:2imidazole][FrH0][:0methyl][:5benzenediol][:5benzenediol][:0propyl][:2benzenealcohol][:5benzenediol][.][O][=C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][N][N][C][=C][C][=C][Branch1][C][Fr][C][Ring1][#Branch1][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][&&][nbo],[C][O][C][:2imidazole][Ring2][:1amide][Ring1][C][:0pyrimidine][Ring2][:3imidazole][Ring1][FrH0][pop][pop][pop][pop][pop][pop][pop][:2imidazole][FrH0][:0methyl][:5benzenediol][:5benzenediol][:0propyl][:2benzenealcohol][:5benzenediol],CCCc1c(O)cccc1Oc1nc(C(=O)NCc2ncc(-c3c[nH]c([Fr])n3)cn2)n([Fr])c1COC,4421.21,nbo_N193_41229cbb,41229cbb
sra_N115_edge196358,[O][C][C][=C][Branch][C][=Branch][=C][Ring1][Ring2][pop][FrH0][pop][C][C][Branch][C][FrH0][pop][Branch][O][pop][Ring1][O][.][Fr][C][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][Ring2][O][Ring1][N][O][C][Branch1][C][Fr][O][Ring1][=C][&&][sra],[O][C][C][=C][Branch][C][=Branch][=C][Ring1][Ring2][pop][FrH0][pop][C][C][Branch][C][FrH0][pop][Branch][O][pop][Ring1][O],4453.4,[FrH0][:0pyrimidine][Ring1][O][:1pyridine][=Branch][:1pyridine][=O][Ring2][FrH0][pop][Ring1][C][C][FrH0][=C][C][O][Ring1][S][FrH0][pop][:0propyl][:3pyridine][:1benzenealcohol][.][Fr][C][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][Ring2][O][Ring1][N][O][C][Branch1][C][Fr][O][Ring1][=C][&&][sra],[FrH0][:0pyrimidine][Ring1][O][:1pyridine][=Branch][:1pyridine][=O][Ring2][FrH0][pop][Ring1][C][C][FrH0][=C][C][O][Ring1][S][FrH0][pop][:0propyl][:3pyridine][:1benzenealcohol],OCc1ncc(-c2nccc(-c3cccc(O)c3)c2Oc2ccnc([Fr])n2)cc1CC[Fr],5183.61,sra_N115_3ed6e49b,3ed6e49b
reo_N337_edge143220,[FrH0][C][C][=S][C][=Branch][=C][Branch][:0benzene][pop][Ring1][Ring2][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Lu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Lu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch2][O][C][Branch1][C][Fr][=O][&&][reo],[FrH0][C][C][=S][C][=Branch][=C][Branch][:0benzene][pop][Ring1][Ring2][pop][FrH0],1365.525,[:0propyl][C][:0imidazole][Ring1][FrH0][pop][Ring1][:0methyl_amine][Ring1][C][C][FrH0][pop][pop][Ring1][:0methyl][pop][pop][.][O][=C][Branch1][C][Fr][O][Lu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Lu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch2][O][C][Branch1][C][Fr][=O][&&][reo],[:0propyl][C][:0imidazole][Ring1][FrH0][pop][Ring1][:0methyl_amine][Ring1][C][C][FrH0][pop][pop][Ring1][:0methyl][pop][pop],CCCc1nc(CC)c(NCCC[Fr])n1[Fr],1941.13574,reo_N337_c6be9c03,c6be9c03
bnn_N254_edge90695,[FrH0][C][=C][Branch][C][C][Branch][P][Branch][C][pop][C][pop][Branch][O][FrH0][pop][C][O][pop][P][Branch][C][pop][C][.][Fr][C][O][Cd][Branch2][Ring2][Branch1][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][Ring2][Ring1][Branch1][&&][bnn],[FrH0][C][=C][Branch][C][C][Branch][P][Branch][C][pop][C][pop][Branch][O][FrH0][pop][C][O][pop][P][Branch][C][pop][C],2118.05,[:0methyl][C][:1pyrimidine][:3benzenediol][:1amide][:4benzenediol][:0pyridine][:3benzenealcohol][:1pyridine][O][=Ring1][:4benzenealcohol][N][P][Branch][C][C][:0propyl][O][O][FrH0][pop][pop][pop][Ring1][C][FrH0][pop][:5benzenediol][:1alkyne][pop][=C][:2benzenealcohol][:1benzenediol][:1benzenealcohol][:0isocyanate][:5benzenediol][#N][=C][.][Fr][C][O][Cd][Branch2][Ring2][Branch1][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][Ring2][Ring1][Branch1][&&][bnn],[:0methyl][C][:1pyrimidine][:3benzenediol][:1amide][:4benzenediol][:0pyridine][:3benzenealcohol][:1pyridine][O][=Ring1][:4benzenealcohol][N][P][Branch][C][C][:0propyl][O][O][FrH0][pop][pop][pop][Ring1][C][FrH0][pop][:5benzenediol][:1alkyne][pop][=C][:2benzenealcohol][:1benzenediol][:1benzenealcohol][:0isocyanate][:5benzenediol][#N][=C],C#Cc1nc([Fr])c(C(=O)Nc2ncccc2-c2ccc(P(CCCCC)O[Fr])nc2)c(CC)n1,3576.1276930000004,bnn_N254_3e9a2bac,3e9a2bac
lvt_N555_edge91528,[:0amide][Ring1][C][C][Branch][C][FrH0][pop][Branch][C][S][pop][C][=C][FrH0][pop][.][O][=C][Branch1][C][Fr][O][Tb][Branch2][Ring2][C][O][C][Branch1][C][Fr][O][Tb][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring1][=N][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][lvt],[:0amide][Ring1][C][C][Branch][C][FrH0][pop][Branch][C][S][pop][C][=C][FrH0][pop],2621.52,[:0nitrile][C][=O][:4pyridine][Ring1][:0benzenediol][#Branch][FrH0][pop][Ring2][C][FrH0][pop][pop][pop][.][O][=C][Branch1][C][Fr][O][Tb][Branch2][Ring2][C][O][C][Branch1][C][Fr][O][Tb][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring1][=N][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][lvt],[:0nitrile][C][=O][:4pyridine][Ring1][:0benzenediol][#Branch][FrH0][pop][Ring2][C][FrH0][pop][pop][pop],N#COc1cccc(-c2c(O[Fr])cccc2OC[Fr])n1,3718.36,lvt_N555_7de0eda9,7de0eda9
